price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,availability_days,type_apartment,type_basement,type_duplex,type_house,type_townhouse,lease_term_months,location,location_avg_price
1550.0,1.0,1.0,520.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1425.0,1.0,1.0,520.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1385.0,1.0,1.0,560.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1625.0,2.0,1.0,770.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1511.0,1.0,1.0,560.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1715.0,2.0,1.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1590.0,2.0,1.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1765.0,2.0,1.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1425.0,1.0,1.0,580.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1490.0,1.0,1.0,510.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1365.0,1.0,1.0,510.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1620.0,2.0,1.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1650.0,2.0,1.0,791.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1635.0,1.0,1.0,625.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1375.0,1.0,1.0,550.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1500.0,1.0,1.0,550.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"brooks, alberta",1612.3
1975.0,2.0,1.0,932.0,0.0,1.0,0,0,29,1,0,0,0,0,12,"brooks, alberta",1612.3
1450.0,2.0,2.0,800.0,2.0,0.0,1,1,0,1,0,0,0,0,6,"bruderheim, alberta",1450.0
1725.0,1.0,1.0,483.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
1875.0,1.0,1.0,527.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2400.0,2.0,2.0,854.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2800.0,2.0,2.0,815.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2925.0,2.0,2.0,873.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
3250.0,2.0,2.0,969.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2050.0,1.0,1.0,591.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2850.0,2.0,2.0,887.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2850.0,2.0,2.0,873.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
3800.0,3.0,2.0,1151.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
11200.0,2.0,2.0,2416.0,1.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
6400.0,1.0,1.0,1028.0,1.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
5000.0,1.0,1.0,1039.0,1.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
3074.0,2.0,2.0,900.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
1805.0,1.0,1.0,600.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2805.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2303.0,1.0,1.0,600.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2779.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2234.0,1.0,1.0,600.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
1871.0,1.0,1.0,600.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2320.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2316.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2784.0,2.0,2.0,800.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
3000.0,2.0,2.0,900.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2250.0,1.0,1.0,600.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
1875.0,1.0,1.0,600.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2221.0,1.0,1.0,600.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2325.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2513.33,2.0,2.0,900.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
3021.0,2.0,2.0,900.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2802.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
3026.0,2.0,2.0,900.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2804.0,2.0,2.0,800.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2271.0,1.0,1.0,600.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
2799.0,2.0,2.0,800.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"calgary, alberta",2288.860828212664
