latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
51.2496146,-114.030942,12.0,2400.0,3.0,2.5,1500.0,0,0,1,1,128.0,0,0,0,0,0,1,30
51.2712276,-113.9940381,12.0,2500.0,3.0,2.5,805.0,0,0,1,1,128.0,0,0,0,0,0,1,30
51.2822242,-114.0268172,12.0,2250.0,3.0,2.5,1400.0,0,0,0,1,128.0,0,0,0,0,0,1,30
51.3040693,-114.0266121,12.0,3150.0,4.0,3.5,2193.0,0,0,0,0,128.0,0,0,0,1,0,0,30
51.2831651,-114.0294991,6.0,1600.0,1.0,1.0,805.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.27211,-114.035756,12.0,2675.0,3.0,3.0,1650.0,0,0,1,1,128.0,0,0,0,0,0,1,30
51.2991022,-114.0211995,6.0,1900.0,2.0,2.0,996.0,0,0,0,0,128.0,1,0,0,0,0,0,30
51.289311,-114.01757,12.0,1759.0,2.0,1.0,955.0,0,0,1,1,128.0,1,0,0,0,0,0,44
51.289311,-114.01757,12.0,1859.0,2.0,1.0,955.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.2657922,-113.9866866,12.0,1600.0,2.0,1.0,900.0,0,0,0,0,128.0,0,1,0,0,0,0,30
51.280764850472,-113.999724984131,12.0,1910.0,3.0,2.0,1100.0,0,0,1,1,128.0,0,0,0,0,0,1,30
51.2578355,-113.980444,12.0,2500.0,3.0,2.5,1316.0,0,0,0,0,128.0,0,0,0,1,0,0,30
51.3061638,-114.0265646,12.0,2600.0,3.0,2.5,1600.0,0,0,1,1,128.0,0,0,0,0,0,1,30
51.2496275,-114.030942,12.0,2150.0,2.0,2.5,1265.0,0,0,0,0,128.0,0,0,0,0,0,1,30
51.2672405,-114.0120077,12.0,3000.0,3.0,2.5,2504.0,0,0,1,1,128.0,0,0,0,1,0,0,30
51.2987401,-114.0275557,12.0,2900.0,4.0,3.0,2500.0,0,0,1,0,128.0,0,0,0,1,0,0,30
51.2500153,-114.02226,12.0,2600.0,3.0,2.5,1800.0,0,0,0,0,128.0,0,0,1,0,0,0,30
51.24993,-114.0216,12.0,2500.0,3.0,2.5,1329.0,0,0,0,0,128.0,0,0,0,0,0,1,30
51.2593,-114.02104,6.0,1500.0,1.0,1.0,1600.0,1,0,0,0,128.0,1,0,0,0,0,0,36
51.2654043,-114.04462,12.0,2500.0,3.0,2.5,1800.0,0,0,0,0,128.0,0,0,0,1,0,0,44
51.2507194,-114.0239848,12.0,1600.0,1.0,1.0,725.0,1,0,0,0,128.0,0,1,0,0,0,0,44
51.2537716,-114.0305299,12.0,2200.0,3.0,1.5,1300.0,0,0,1,1,128.0,0,0,0,0,0,1,44
