rentfaster_id,city,province,address,latitude,longitude,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,lease_term_months,availability_days
565612,Calgary,Alberta,8948 Elbow Drive SW,50.9720344,-114.0820152,apartment,1600.0,1.0,1.0,731.0,0,0,1,0,12,0
538276,Calgary,Alberta,"109B Auburn Crest Lane SE Calgary. AB, Canada",50.8858339,-113.9478766,basement,1750.0,1.0,1.0,650.0,0,0,0,0,12,0
546470,Calgary,Alberta,1710 11 Avenue Southwest,51.0436756,-114.1000362,apartment,1855.0,1.0,1.0,487.0,2,0,1,1,12,0
535983,Calgary,Alberta,410 Seton Passage Southeast,50.8767704,-113.9421461,apartment,1650.0,1.0,1.0,505.0,0,0,0,0,12,0
364085,Calgary,Alberta,105 9 Street Northwest,51.0538373,-114.0817242,townhouse,3795.0,2.0,3.5,2200.0,0,0,0,0,12,0
572377,Calgary,Alberta,137 Red Embers Link NE,51.1666422,-113.9502865,townhouse,2399.0,3.0,2.0,1200.0,0,0,0,0,12,0
571776,Calgary,Alberta,56 Bridleridge Circle SW,50.895325,-114.1059652,house,3000.0,3.0,2.0,1500.0,0,0,0,0,12,0
486520,Calgary,Alberta,167 Schooner Cove Northwest,51.122527,-114.226671,house,2850.0,4.0,2.5,2000.0,0,0,0,0,12,0
570905,Calgary,Alberta,68 Huntham Road Northeast,51.1244204,-114.0654892,basement,1495.0,2.0,1.0,1150.0,0,0,1,0,12,0
572590,Calgary,Alberta,355 Nolancrest Heights Northwest,51.1743542,-114.1677406,townhouse,2550.0,2.0,2.5,1400.0,0,0,1,1,12,0
572559,Calgary,Alberta,11620 Elbow Dr SW,50.9497536,-114.0833861,apartment,1995.0,2.0,1.0,755.0,0,0,1,1,12,0
470326,Calgary,Alberta,Taradale,51.1197226,-113.9354814,house,2400.0,3.0,2.5,1657.0,0,0,0,0,12,0
544054,Calgary,Alberta,193 Magnolia Terrace Southeast,50.8898747,-113.9130467,basement,1400.0,1.0,1.0,462.0,0,0,1,1,12,0
531158,Calgary,Alberta,83 Herron Rise Northeast,51.1880448,-114.0517527,house,3300.0,3.0,2.5,2480.0,0,0,0,0,12,0
125475,Calgary,Alberta,East Village,51.0459145,-114.0493197,apartment,2800.0,2.0,2.0,1156.0,2,0,1,1,12,0
565040,Calgary,Alberta,60 Legacy Reach Crescent Southeast,50.8560319,-113.9959065,duplex,1550.0,2.0,1.0,850.0,0,0,1,1,6,0
